11497638	en
365801	zh-cn
353258	fr
319363	es
262756	id
231002	pt
156397	de
117298	ko
57280	ru
45948	tr
40327	ja
30437	fa
28069	sv
26149	cs
24636	it
23645	hr
21390	uk
18412	pl
17868	nl
16027	ca
13210	ar
11099	et
8818	vi
6444	no
5638	hu
5497	sl
4997	NA
4837	ro
4592	el
4062	th
3200	af
2953	fi
2887	da
2178	so
2067	lt
1700	sk
1652	tl
1203	cy
1184	bg
981	mk
757	lv
499	zh-tw
485	sw
270	hi
161	sq
150	he
143	bn
115	ne
31	ta
31	mr
23	gu
10	ur
9	ml
2	pa
1	kn
